	journal-id	aff	year	PMCID	tokenized_METHODS
0	BMC Bioinformatics		2009	PMC3150296	
1	J Cell Biol	 	2004	PMC2171605	
2	BMC Biol		1998	PMC419721	
3	Clinical Ophthalmology		1979	PMC2693978	
4	J Inherit Metab Dis		2004	PMC2903709	
5	Exp Brain Res		2003	PMC2755747	
6	Diabetes Care		2009	PMC2992178	
7	Br J Cancer		2001	PMC2813756	
8	plosone	University of Minnesota, United States of America	1998	PMC3137608	
9	gbe		2007	PMC2817433	
10	plospath	University of Colorado, United States of America	2008	PMC2734180	The paid donors were 69% male, 42% Caucasian, 56% African American, and had a mean age of 56 years (range 47–75).
11	Scand J Trauma Resusc Emerg Med		1997	PMC3044091	
12	Br J Cancer		1990	PMC2376351	
13	LAR		2000	PMC3145981	
14	bph		2000	PMC3042207	
15	plosone	Queen Elizabeth Hospital, Hong Kong	2006	PMC2923618	
16	Vascular Health and Risk Management		2006	PMC2496990	Participants were recruited between 1993 and 1997 among women living in Utrecht and vicinity who attended the regional population-based breast cancer-screening program.
17	Vascular Health and Risk Management		2006	PMC2496990	This resulted in 15,236 women in the total cohort and 1519 women in the sub-cohort at baseline (as the control group).
18	plosone	UCL Institute of Child Health, University College London, United Kingdom	2007	PMC3139656	
19	Clinics (Sao Paulo)		2007	PMC2710441	
20	J. Cell Biol	 	1995	PMC2132490	
21	bmj		2004	PMC2776131	
22	J Transl Med		2008	PMC2867799	
23	BMC Proc		2007	PMC2587691	
24	Crit Care		2007	PMC2811941	
25	plosone	University Paris Diderot-Paris 7, France	2006	PMC3018526	
26	Behav Genet		2000	PMC2886910	
27	plospath	Stanford University, United States of America	2000	PMC1579244	
28	Br J Cancer		1987	PMC2409533	
29	BMC Cancer		2007	PMC2751776	
30	ejh		2003	PMC2704927	
31	Eur Arch Otorhinolaryngol		1999	PMC2441492	
32	plosgen	University of Oxford, United Kingdom	2008	PMC2613029	
33	plosone	Hospital Vall d'Hebron, Spain	2006	PMC2912846	
34	Saline Syst		2005	PMC1609171	
35	J Transl Med		2004	PMC544587	
36	spbii		2004	PMC2773552	
37	Hum Resour Health		1998	PMC1950878	
38	Malar J		2008	PMC3013084	
39	nar		2008	PMC2691838	
40	plosone	INSERM U1016, Institut Cochin, France	1976	PMC2946920	
41	ECAM		2007	PMC3139501	
42	jnc		1989	PMC1804119	
43	BMC Neurosci		2007	PMC2856586	
44	Arthritis Res		1999	PMC129992	
45	MV		2004	PMC2358923	In the keratoconus group, the mean age was 25 years (range 14–48 years), 68% were male and 32% were female.
46	plosone	University of Hong Kong, China	2008	PMC2568952	
47	bioinfo		1997	PMC2935402	
48	plosone	University of Giessen Lung Center, Germany	1991	PMC3135607	
49	Nutr Metab (Lond)		2009	PMC3068071	
50	humu		2010	PMC3038324	
51	Ital J Pediatr		1998	PMC3170260	
52	Environ. Health Perspect		1996	PMC1480481	We obtained morning spot urine from 797 women and blood from 727 women.
53	QHW		2003	PMC2879864	
54	J Hematol Oncol		1996	PMC2494998	
55	Childs Nerv Syst	Sophia Children’s Hospital, Erasmus Medical Centre, P.O.Box 2060, 3000 CB Rotterdam, The Netherlands 	2005	PMC2092440	
56	BMC Genomics		1980	PMC3126782	
57	BMC Health Serv Res		2008	PMC3121582	
58	BMC Evol Biol		1997	PMC1805736	
59	J. Cell Biol	 	1993	PMC2190578	
60	Mol Imaging Biol	Department of Nuclear Medicine and PET Research, VU University Medical Center, P.O. Box 7057, 1007 MB Amsterdam, The Netherlands 	1997	PMC3023023	
61	CG	Bioinformatics Center, College of Life Science, Northwest A&F University, Yangling, Shaanxi 712100, China	2006	PMC2671719	
62	BMC Genomics		2008	PMC2861677	
63	plospath	Washington University School of Medicine, United States of America	2003	PMC3161980	
64	ploscomp	Charité - Universitätsmedizin Berlin, Germany	2005	PMC2790341	
65	JCD		2000	PMC2980610	
66	plosgen	University of Oxford, United Kingdom	2002	PMC1853121	
67	MV		2008	PMC3137558	
68	BMC Bioinformatics		2004	PMC2621369	
69	Mol Cancer		2006	PMC2763858	
70	Br J Cancer		2004	PMC2359992	
71	Pediatr Cardiol	German Center for Fetal Surgery and Minimally Invasive Therapy, University Hospital of Bonn, Bonn, 53105 Germany 	2005	PMC2817075	Patients and MethodsThe studies were performed in 15 pregnant women and their fetuses between 33 weeks + 5 days and 38 weeks + 0 days of gestation; all fetuses had normal karyotypes.
72	J. Exp. Med	From the Merck Research Laboratories, Rahway, New Jersey 07065	1996	PMC2196359	
73	plosone	Children's Hospital Boston, United States of America	1977	PMC1851097	
74	Br J Cancer		2001	PMC2394324	
75	JBC	the	2005	PMC3037619	
76	JO		2003	PMC2938436	
