id,text
PMC3556869,This study found that 19 healthy able-bodied male subjects changed their posture on average 7.8 ± 5.2 times an hour in the frontal and sagittal planes when sitting in a wheelchair.
PMC7070603,"The subject pool consisted of 5 males and 3 females with no history of cardiac illness.Data collection and analysis for both electrodes was performed using the BIOPAC MP160 ECG data acquisition module (BIOPAC Systems, Inc., Goleta, CA, USA)."
PMC9553949,"Accordingly, we had datasets of 1,017 subjects in total (863 independent persons, men: 625, women: 238), and analyzed the initial 18 hours."
PMC8807728,One male subject had obesity class 1 and 1 female subject was postmenopausal.
PMC8807728,Only 1 female subject was postmenopausal and only 1 male subject had a BMI in the obese range.
PMC3706486,"The 113 participants included three groups: General Population (GP), N = 44 [15 men; Expressions = 2,440]; Alcohol Anonymous (AA), N = 33 [29 men; Expressions = 3,848]; and SUBX, N = 36 [13 men; Expressions = 1054] with an average SUBX continued maintenance period of 1.66 years (SD = 0.48)."
PMC2440761,"MethodsSubjectsThe subjects in this study were 524 women and men from the Baltimore, MD/Washington, DC area (Table1)."
PMC4558841,"There were 1,128 (65.1 %) males and 604 (34.9 %) females."
PMC4248385,A total of 78 women were enrolled consecutively and diagnosed with endometriosis.
PMC4248385,"Of these 78 women, 68 had undergone only one and 12 more than one surgical procedures."
PMC5826925,Archival samples of synovium were obtained from 6 healthy adult male subjects who had undergone post-traumatic knee surgical intervention and had signed a written informed consent form.
PMC4589814,"Of the total number of patients, 4 (40%) were female and 6 (60%) were male, mean age ± SD [range] was 28.04 ± 6.07 [19–36] years."
PMC5618177,"Materials and MethodsThe ALSWH collects data every 2–3 years from four age cohorts (14,247 women aged 18–23 in 1996; 13,714 women aged 45–50 in 1996; 12,432 women aged 70–75 in 1996 and 17,015 women aged 18–23 years in 2013) in Australia with a total of 58,000 participants [15]."
PMC5618177,Outcome VariableThe outcome variable was obesity incidence based on data from S4–S7 (2004 to 2013) up to 12 years after S3 (2001) in women who had a BMI < 25 kg/m2at S3.
PMC5618177,"[22] in 159 mid-aged women; this validation study found substantial agreement between the measured and self-reported height and weight and calculated BMI (Confidence Interval (CI) of the difference between the reported and the measured BMI: 0.12 (−0.13, 0.37)) [22].2.4."
PMC7771686,"Limitations of the studyDespite actively advertising for participants of non-white British heritage, the demographic profile of our participants reflected broader trends in the non-medical health and social care workforce, in being predominantly white and female [62]."
PMC4755135,"MATERIALS AND METHODSSubjectsNineteen healthy subjects were included in this study (6 women and 13 men; mean ± SD age, 31.1 ± 5.2 years; range, 23–40 years; all right handed)."
PMC8514293,"Of the remaining 72 participants, 34 were male, 36 female, one identified with another gender, and one preferred not to answer the question."
PMC6600054,"From the total of 20 eligible candidates, 16 (1 man and 15 women, age range 27–37 years) enrolled in the study, after a written informed consent was obtained."
PMC8254935,DNA barcode analysisA total of 99 specimens of the 3340 morphologically identifiable females possessed representative morphological characters.
PMC8254935,"Of these 99 specimens, 75 females were morphologically classified to species level, and 24 were only morphologically identifiable to the genus level."
PMC6917603,"Materials and MethodsParticipantsAll participants (n= 210; 70 men, 140 women) were recruited from Amazon’s Mechanical Turk with a compensation of $2.50 for completing the study."
PMC9502376,"Briefly, the cohorts were stratified according to current diagnosis criteria for asthma, which were set for those who were between five to 17 years of age with respect to the history and lung function parameters (n= 49; 9.9 ± 3.3 years, 34 males)."
PMC9502376,"Moreover, patients before the age of 5 years suffering from several (at least two) bronchitic/wheezing episodes were defined as wheezers (n= 49; 2.1 ± 1.2 years, 33 males)."
PMC8491895,All experiments were performed in duplicates in three independent experiments.Testing for synergistic inhibition of SARS-CoV-2 in primary human nasal epithelial culturesPrimary human nasal epithelial cells (NEpCs) from a 41 year-old female donor were purchased from Epithelix (#EP51AB).
PMC5950935,The remaining 52 participants (27 males and 25 females) had a mean age of 19.49 (SD= 1.50).
PMC5950935,The remaining 60 participants (29 males and 31 females) had a mean age of 19.28 (SD= 1.22).
PMC4180141,"This dataset contains 960 color video clips of imitated surveillance video settings, collected from 20 human subjects (8 females and 12 males) of 20 to 50 years old using a Canon VIXIA HF20 camcorder."
PMC3350467,There were 54 male (36.49%) and 94 female (63.51%) participants.
PMC3765755,"Early and rapid referral was associated with greater patient satisfaction with their GP’s care.“[the patient waited]Two weeks to see a doctor so I went and pleaded my case and saw a[different]doctor…within a week.She wouldn’t even look at it” –Qld,rural group,male 7[private]."
PMC8585828,"The remainder were other violent suicide methods, and overall, 88% of women died using violent suicide methods."
PMC8585828,"Overall, 71% of women died by violent methods of suicide."
PMC8308341,Study Participants and ProcedureThe participants included 87 male and female Spanish volunteers with overweight and obesity recruited by advertisements on the website of the Tech4Diet project: 4D modelling and visualization of the human body (http://tech4d.dtic.ua.es/(accessed on 22 June 2021)).
PMC8308341,The final sample included 87 male and female participants with overweight and obesity.
PMC9015636,"The comparison categories are women, for participants who identified as women (n= 237, 64.4%) and other, for participants who identified as outside the man/woman binary (i.e., non‐conforming/non‐binary,n= 4; trans man,n= 1; and trans woman,n= 2; 1.9%)."
