level,count
front,100
sec,100
back,100
boxed-text,1
processing-meta,21
floats-group,16
p,9
sub-article,1
level,count
front,100
sec,100
back,100
boxed-text,1
processing-meta,21
floats-group,16
p,9
sub-article,1
level,count
front,419041
sec,419023
back,418287
floats-group,101918
def-list,2906
processing-meta,97388
p,32027
fig,1133
boxed-text,5185
sub-article,5324
table-wrap,272
list,81
floats-wrap,363
graphic,77
disp-quote,219
speech,1
sig-block,4
supplementary-material,2
verse-group,1
disp-formula,2
response,1
