level,tag,count
front,front,419041
front,journal-meta,419041
front,journal-id,418882
front,journal-title-group,412030
front,journal-title,419041
front,issn,418223
front,publisher,413103
front,publisher-name,413103
front,article-meta,419041
front,article-id,419041
front,article-categories,419041
front,subj-group,419041
front,subject,419041
front,title-group,419041
front,article-title,419041
front,alt-title,86974
front,italic,199307
front,contrib-group,418971
front,contrib,418970
front,name,418930
front,surname,418930
front,given-names,418929
front,xref,412847
front,aff,418406
front,label,328185
front,author-notes,313992
front,corresp,300686
front,sup,180440
front,bold,167494
front,email,405974
front,fn,162749
front,p,417381
front,pub-date,419041
front,day,415135
front,month,417273
front,year,419041
front,volume,416609
front,issue,254192
front,fpage,163037
front,lpage,163030
front,history,389942
front,date,391297
front,permissions,417795
front,copyright-statement,404528
front,copyright-year,301181
front,license,414513
front,license-p,407861
front,ext-link,284527
front,uri,40387
front,abstract,416987
front,title,253961
front,kwd-group,303369
front,kwd,303339
front,copyright-holder,135366
front,self-uri,103550
front,sec,164632
front,publisher-loc,184951
front,suffix,3464
front,addr-line,103350
front,role,74930
front,elocation-id,256057
front,funding-group,151748
front,funding-statement,53648
front,counts,120609
front,page-count,119919
front,institution,189769
front,country,99657
front,{http://www.niso.org/schemas/ali/1.0/}license_ref,123778
front,fig-count,86292
front,table-count,84827
front,equation-count,33805
front,ref-count,44602
front,word-count,49473
front,contrib-id,155178
front,award-group,124952
front,funding-source,125621
front,institution-wrap,107502
front,institution-id,102518
front,award-id,95918
front,principal-award-recipient,44421
front,custom-meta-group,147391
front,custom-meta,147741
front,meta-name,147741
front,meta-value,147741
front,notes,47544
front,named-content,33510
front,list,12091
front,list-item,12091
front,fig,7051
front,graphic,16632
front,sub,29547
front,subtitle,2928
front,address,101890
front,sc,3448
front,city,17671
front,break,16506
front,issue-id,19463
front,boxed-text,5161
front,mixed-citation,13434
front,string-name,11597
front,source,13395
front,pub-id,11641
front,supplement,1678
front,phone,25469
front,degrees,20996
front,season,12581
front,def-list,466
front,def-item,466
front,term,466
front,def,467
front,article-version,3530
front,postal-code,2614
front,fax,7246
front,article-version-alternatives,505
front,{http://www.niso.org/schemas/ali/1.0/}free_to_read,3437
front,support-group,1867
front,fn-group,11776
front,series-title,2916
front,styled-content,5085
front,name-alternatives,171
front,author-comment,453
front,state,2262
front,statement,66
front,conference,2247
front,conf-date,2239
front,conf-name,2242
front,conf-loc,2224
front,compound-subject,773
front,compound-subject-part,773
front,inline-graphic,2067
front,alt-text,1907
front,collab,5187
front,trans-title-group,1648
front,trans-title,1648
front,trans-abstract,2204
front,underline,1369
front,supplementary-material,117
front,caption,728
front,media,403
front,pub-history,1869
front,event,1869
front,event-desc,1869
front,inline-formula,1483
front,{http://www.w3.org/1998/Math/MathML}math,1402
front,{http://www.w3.org/1998/Math/MathML}mrow,1142
front,{http://www.w3.org/1998/Math/MathML}mi,975
front,related-article,1952
front,monospace,142
front,open-access,2462
front,compound-kwd,99
front,compound-kwd-part,99
front,issue-title,1933
front,{http://www.w3.org/1998/Math/MathML}msup,258
front,{http://www.w3.org/1998/Math/MathML}mo,1037
front,{http://www.w3.org/1998/Math/MathML}mtext,365
front,{http://www.w3.org/1998/Math/MathML}mn,941
front,count,861
front,price,24
front,bio,432
front,isbn,203
front,related-object,93
front,issue-sponsor,675
front,conf-acronym,317
front,alternatives,769
front,string-date,521
front,x,369
front,on-behalf-of,1181
front,custom-meta-wrap,350
front,tex-math,388
front,{http://www.w3.org/1998/Math/MathML}msubsup,137
front,{http://www.w3.org/1998/Math/MathML}mspace,107
front,{http://www.w3.org/1998/Math/MathML}msub,438
front,issn-l,630
front,trans-subtitle,17
front,table-wrap,314
front,table,314
front,tbody,315
front,tr,315
front,td,315
front,target,116
front,prefix,167
front,collab-alternatives,3
front,aff-alternatives,17
front,string-conf,125
front,strike,24
front,{http://www.w3.org/1998/Math/MathML}mover,200
front,journal-subtitle,151
front,nested-kwd,17
front,{http://www.w3.org/1998/Math/MathML}mfrac,23
front,hr,3
front,chem-struct,7
front,{http://www.w3.org/1998/Math/MathML}mfenced,26
front,grant-sponsor,26
front,grant-num,15
front,page-range,37
front,thead,5
front,th,3
front,person-group,13
front,private-char,3
front,glyph-data,3
front,{http://www.w3.org/2000/svg}svg,3
front,{http://www.w3.org/2000/svg}metadata,3
front,{http://www.w3.org/2000/svg}g,3
front,{http://www.w3.org/2000/svg}path,3
front,glyph-ref,3
front,{http://www.w3.org/1998/Math/MathML}munder,3
front,contract-num,7
front,contract-sponsor,8
front,glossary,4
front,element-citation,9
front,abbrev,13
front,sans-serif,11
front,disp-formula,24
front,{http://www.w3.org/1998/Math/MathML}msqrt,9
front,roman,6
front,series-text,2
front,issue-part,7
front,volume-series,5
front,code,5
front,{http://www.w3.org/1998/Math/MathML}mstyle,7
front,{http://www.w3.org/1998/Math/MathML}mmultiscripts,2
front,{http://www.w3.org/1998/Math/MathML}mprescripts,2
front,{http://www.w3.org/1998/Math/MathML}none,2
front,product,6
front,abbrev-journal-title,4
front,disp-quote,8
front,ack,1
front,anonymous,5
front,{http://www.w3.org/1998/Math/MathML}mtable,2
front,{http://www.w3.org/1998/Math/MathML}mtr,2
front,{http://www.w3.org/1998/Math/MathML}mtd,2
front,comment,2
front,inline-supplementary-material,5
front,{http://www.w3.org/1998/Math/MathML}semantics,1
front,object-id,3
front,etal,1
front,col,1
front,overline,3
front,array,1
sec,sec,419023
sec,title,419023
sec,p,419023
sec,xref,417825
sec,sup,337104
sec,uri,20666
sec,italic,389603
sec,table-wrap,234619
sec,label,331663
sec,caption,321985
sec,table,226228
sec,colgroup,55344
sec,col,79828
sec,thead,220170
sec,tr,226792
sec,td,226783
sec,tbody,226475
sec,table-wrap-foot,172585
sec,fn,100039
sec,fig,285033
sec,graphic,291105
sec,th,191240
sec,sub,224764
sec,ext-link,133161
sec,bold,232778
sec,hr,34339
sec,break,40518
sec,named-content,7074
sec,object-id,51666
sec,supplementary-material,142644
sec,media,140897
sec,inline-formula,35073
sec,{http://www.w3.org/1998/Math/MathML}math,54882
sec,{http://www.w3.org/1998/Math/MathML}mrow,52962
sec,{http://www.w3.org/1998/Math/MathML}mi,51612
sec,{http://www.w3.org/1998/Math/MathML}mo,53244
sec,{http://www.w3.org/1998/Math/MathML}msubsup,20599
sec,{http://www.w3.org/1998/Math/MathML}mn,47964
sec,{http://www.w3.org/1998/Math/MathML}msub,39686
sec,disp-formula,55733
sec,alternatives,56685
sec,list,55366
sec,list-item,55366
sec,{http://www.w3.org/1998/Math/MathML}mtext,25310
sec,{http://www.w3.org/1998/Math/MathML}mspace,17647
sec,underline,17925
sec,{http://www.w3.org/1998/Math/MathML}mover,12841
sec,{http://www.w3.org/1998/Math/MathML}msup,28576
sec,permissions,10322
sec,copyright-holder,10231
sec,{http://www.w3.org/1998/Math/MathML}munder,7623
sec,{http://www.w3.org/1998/Math/MathML}msqrt,9855
sec,{http://www.w3.org/1998/Math/MathML}mfrac,35992
sec,alt-text,11267
sec,{http://www.w3.org/1998/Math/MathML}mtable,16350
sec,{http://www.w3.org/1998/Math/MathML}mtr,16330
sec,{http://www.w3.org/1998/Math/MathML}mtd,16351
sec,{http://www.w3.org/1998/Math/MathML}mstyle,12429
sec,sc,23827
sec,tex-math,16112
sec,{http://www.w3.org/1998/Math/MathML}mfenced,16628
sec,inline-graphic,18659
sec,array,586
sec,{http://www.w3.org/1998/Math/MathML}munderover,12593
sec,attrib,5824
sec,monospace,3494
sec,disp-quote,9892
sec,email,1853
sec,styled-content,5301
sec,funding-source,4386
sec,award-id,1059
sec,statement,1728
sec,boxed-text,5227
sec,inline-supplementary-material,3710
sec,{http://www.w3.org/1998/Math/MathML}semantics,468
